-------------------------------------------------------------------------
data          czas      rozmiar  plik              opis
2017-10-11    23:59       26 kB  PKO918.txt        PKO Akcji Rynku Amerykanskiego
2017-10-11    23:59       26 kB  PKO919.txt        PKO Akcji Rynku Japonskiego
2017-10-11    23:59       25 kB  PKO925.txt        PKO Akcji Rynkow Wschodzacych
2017-10-11    23:59      196 kB  PZU001.txt        PZU Akcji Krakowiak
2017-10-11    23:59      200 kB  PZU002.txt        PZU Stabilnego Wzrostu Mazurek
2017-10-11    23:59      197 kB  PZU003.txt        PZU Papierow Dluznych Polonez
2017-10-11    23:59      129 kB  PZU004.txt        PZU Gotowkowy
2017-10-11    23:59      124 kB  PZU005.txt        PZU Zrownowazony
2017-10-11    23:59      124 kB  PZU006.txt        PZU Akcji Nowa Europa
2017-10-11    23:59      116 kB  PZU007.txt        PZU FIO Ochrony Majatku
2017-10-11    23:59      115 kB  PZU008.txt        PZU Akcji Malych i Srednich Spolek
2017-10-11    23:59      123 kB  PZU009.txt        PZU Akcji Rynkow Rozwinietych
2017-10-11    23:59      122 kB  PZU010.txt        PZU Akcji Rynkow Wschodzacych
2017-10-11    23:59      117 kB  PZU011.txt        PZU Akcji Spolek Dywidendowych
2017-10-11    23:59      122 kB  PZU012.txt        PZU Dluzny Rynkow Wschodzacych
2017-10-11    23:59      103 kB  PZU014.txt        PZU Energia Medycyna Ekologia
2017-10-11    23:59       96 kB  PZU016.txt        PZU Sejf+
2017-10-11    23:59       15 kB  PZU030.txt        PZU Globalny Obligacji Korporacyjnych
2017-10-11    23:59       12 kB  PZU031.txt        PZU Telekomunikacja Media Technologia
2017-10-11    23:59       10 kB  PZU032.txt        PZU Dluzny Aktywny
2017-10-11    23:59      110 kB  QRS001.txt        QUERCUS Ochrony Kapitalu
2017-10-11    23:59      108 kB  QRS002.txt        QUERCUS Selektywny
2017-10-11    23:59      108 kB  QRS003.txt        QUERCUS Agresywny
2017-10-11    23:59      107 kB  QRS004.txt        QUERCUS Turcja
2017-10-11    23:59       79 kB  QRS005.txt        QUERCUS Rosja
2017-10-11    23:59       79 kB  QRS006.txt        QUERCUS lev
2017-10-11    23:59       78 kB  QRS007.txt        QUERCUS short
2017-10-11    23:59       58 kB  QRS010.txt        QUERCUS Gold
2017-10-11    23:59       45 kB  QRS018.txt        QUERCUS Stabilny
2017-10-11    23:59        4 kB  QRS021.txt        QUERCUS Global Growth
2017-10-11    23:59      217 kB  SKA001.txt        SKARBIEC Obligacja
2017-10-11    23:59      229 kB  SKA002.txt        SKARBIEC Depozytowy
2017-10-11    23:59      219 kB  SKA003.txt        SKARBIEC Rynkow Wschodzacych
2017-10-11    23:59      196 kB  SKA004.txt        SKARBIEC III Filar
2017-10-11    23:59      234 kB  SKA005.txt        SKARBIEC Kasa
2017-10-11    23:59      233 kB  SKA006.txt        SKARBIEC Waga
2017-10-11    23:59      230 kB  SKA007.txt        SKARBIEC Akcja
2017-10-11    23:59      183 kB  SKA008.txt        SKARBIEC Rynkow Rozwinietych
2017-10-11    23:59      145 kB  SKA017.txt        SKARBIEC Top Funduszy Akcji SFIO
2017-10-11    23:59      146 kB  SKA018.txt        SKARBIEC Top Fund. Stab. SFIO
2017-10-11    23:59      123 kB  SKA024.txt        SKARBIEC Market Opportunities
2017-10-11    23:59      109 kB  SKA027.txt        SKARBIEC Spolek Wzrostowych
2017-10-11    23:59      108 kB  SKA028.txt        SKARBIEC Malych i Srednich Spolek
2017-10-11    23:59      112 kB  SKA031.txt        SKARBIEC Globalny Malych i Srednich Spolek
2017-10-11    23:59      107 kB  SKA033.txt        SKARBIEC Rynkow Surowcowych
2017-10-11    23:59      103 kB  SKA034.txt        SKARBIEC Top Brands
2017-10-11    23:59       72 kB  SKA042.txt        SKARBIEC Lokacyjny
2017-10-11    23:59       53 kB  SKA049.txt        SKARBIEC Market Neutral
2017-10-11    23:59       43 kB  SKA054.txt        SKARBIEC JPMorgan Emerging Markets Opportunities
2017-10-11    23:59       43 kB  SKA055.txt        SKARBIEC JPMorgan Global High Yield Bond
2017-10-11    23:59       44 kB  SKA056.txt        SKARBIEC JPMorgan Global Strategic Bond
2017-10-11    23:59       43 kB  SKA057.txt        SKARBIEC JPMorgan Highbridge US STEEP
2017-10-11    23:59       22 kB  SKA063.txt        SKARBIEC Obligacji Globalnych
2017-10-11    23:59       16 kB  SKA070.txt        SKARBIEC JPMorgan Europe Strategic Dividend Fund Polska
2017-10-11    23:59       16 kB  SKA071.txt        SKARBIEC JPMorgan Global Healthcare Fund Polska
2017-10-11    23:59       17 kB  SKA072.txt        SKARBIEC JPMorgan Global Income Fund Polska
2017-10-11    23:59       16 kB  SKA073.txt        SKARBIEC JPMorgan Global Macro Opportunities Fund Polska
2017-10-11    23:59       82 kB  SUP001.txt        SUPERFUND SFIO RED
2017-10-11    23:59       83 kB  SUP002.txt        SUPERFUND SFIO Green
2017-10-11    23:59       82 kB  SUP003.txt        SUPERFUND SFIO Blue
2017-10-11    23:59       69 kB  SUP004.txt        SUPERFUND Trend Plus Powiazany SFIO
2017-10-11    23:59       72 kB  SUP006.txt        SUPERFUND Akcji
2017-10-11    23:59       79 kB  SUP007.txt        SUPERFUND SFIO Plynnosciowy
2017-10-11    23:59       73 kB  SUP008.txt        SUPERFUND GoldFuture
2017-10-11    23:59       43 kB  SUP009.txt        SUPERFUND Akcyjny
2017-10-11    23:59       44 kB  SUP010.txt        SUPERFUND Obligacyjny
2017-10-11    23:59       44 kB  SUP011.txt        SUPERFUND Pieniezny
2017-10-11    23:59       43 kB  SUP012.txt        SUPERFUND Alternatywny
2017-10-10    23:59       83 kB  IPO054.txt        IPOPEMA m-INDEKS kat. A
2017-10-10    23:59       66 kB  IPO062.txt        IPOPEMA Akcji kat. A
2017-10-10    23:59       67 kB  IPO063.txt        IPOPEMA Makro Alokacji kat. A
2017-10-10    23:59       67 kB  IPO064.txt        IPOPEMA Obligacji kat. A
2017-10-10    23:59       56 kB  IPO082.txt        IPOPEMA Gotowkowy kat. A
2017-10-10    23:59       52 kB  IPO083.txt        IPOPEMA MiS Spolek kat. A
2017-10-10    23:59       46 kB  IPO084.txt        IPOPEMA Short Equity kat. A
2017-10-10    23:59       23 kB  IPO099.txt        IPOPEMA Globalnych Megatrendow kat. A
2017-10-10    23:59       27 kB  IPO145.txt        IPOPEMA Dluzny kat. A
2017-10-10    23:59       27 kB  IPO945.txt        IPOPEMA Dluzny kat. B
2017-10-10    23:59       80 kB  IPO954.txt        IPOPEMA m-INDEKS kat. B
2017-10-10    23:59       64 kB  IPO962.txt        IPOPEMA Akcji kat. B
2017-10-10    23:59       64 kB  IPO963.txt        IPOPEMA Makro Alokacji kat. B
2017-10-10    23:59       67 kB  IPO964.txt        IPOPEMA Obligacji kat. B
2017-10-10    23:59       55 kB  IPO982.txt        IPOPEMA Gotowkowy kat. B
2017-10-10    23:59       52 kB  IPO983.txt        IPOPEMA MiS Spolek kat. B
2017-10-10    23:59       45 kB  IPO984.txt        IPOPEMA Short Equity kat. B
2017-10-10    23:59       23 kB  IPO999.txt        IPOPEMA Globalnych Megatrendow kat. B
2017-10-03    23:59       15 kB  ALL044.txt        ALLIANZ Artificial Intelligence
2017-08-31    23:59      154 kB  PKO006.txt        PKO Rynku Pienieznego
2017-08-14    23:59       25 kB  UI_038.txt        UniAbsolute Return Uniwersalny
2017-07-26    23:59        2 kB  QRS999.txt        QUERCUS Global Growth
2017-05-25    23:59       28 kB  UI_034.txt        UNIStrategie Dynamiczny
2017-01-03    23:59       23 kB  UI_035.txt        UNIObligacje Zamienne
2016-11-03    23:59        1 kB  PKO099.txt        PKO Medycyny i Demografii Globalny
2016-06-23    23:59      106 kB  ING018.txt        NN Selektywny
2015-10-22    23:59       96 kB  ING019.txt        NN Srodkowoeuropejski Budownictwa i Nieruchomosci
-------------------------------------------------------------------------
                       31501 kB 334 plikow
